lon,lat,sigprop
-4.97,55.78,0.901127411
-5.1,55.96,0.999492088
-5.08,55.94,0.923538468
-5.26,55.81,0.985674068
-5.08,56.19,1
-5.27,56.08,0.999923464
-5.42,55.41,1
-5.26,55.28,1
-4.98,55.44,1
-4.93,55.58,0.998804536
-5.08,55.63,0.997372263
-4.88,55.65,0
-4.79,55.57,0.99866516
-4.92,55.43,0.953522862
-4.88,55.44,0.961947889
-4.93,55.35,0.998546644
-5.2,55.11,0.998851367
-5.45,55.12,0.713760576
-5.36,55.35,0.998655949
