"","Date","Time","Lon","Lat","FishNASC"
"81",20151026," 15:50:41.3130",-5.23743011,55.80046503,695.902685
"82",20151026," 15:54:46.6880",-5.25027734,55.80575696,258.17471
"83",20151026," 15:58:52.0630",-5.26433349,55.80995346,878.012091
"84",20151026," 16:03:02.4700",-5.27914667,55.81329,522.595575
"85",20151026," 16:07:13.8600",-5.29403,55.81626833,808.266841
"86",20151026," 16:11:25.2510",-5.30865333,55.81981667,138.206511
"87",20151026," 16:15:36.6410",-5.32271333,55.82399333,0
"88",20151026," 16:19:44.0320",-5.33642853,55.82853623,0
"89",20151026," 16:23:48.4070",-5.34482624,55.83584406,25.511212
"90",20151026," 16:27:53.7980",-5.3460991,55.84474394,655.499584
"91",20151026," 16:32:00.1730",-5.34674318,55.85374715,320.643962
"92",20151026," 16:36:04.5630",-5.34442591,55.8625406,649.304445
"93",20151026," 16:40:10.9380",-5.34331772,55.87143619,4034.319172
"94",20151026," 16:44:17.3290",-5.34786296,55.87996911,472.265794
"95",20151026," 16:48:20.7040",-5.35474278,55.8880062,0
"96",20151026," 16:52:23.0790",-5.36512353,55.89482682,753.376259
"97",20151026," 16:56:26.4700",-5.374645,55.90200167,2148.856435
"98",20151026," 17:00:33.8600",-5.38474205,55.90894119,1829.340161
"99",20151026," 17:04:43.2200",-5.39501499,55.91578017,6006.799255
"100",20151026," 17:08:54.6100",-5.40541156,55.92256327,233.856696
"101",20151026," 17:13:06.0160",-5.415938,55.92937538,24.389476
"102",20151026," 17:17:20.4070",-5.41153687,55.93660338,48.756813
"103",20151026," 17:21:34.7980",-5.40124743,55.94345235,235.378437
"104",20151026," 17:25:46.2040",-5.39163743,55.95052464,913.413004
"105",20151026," 17:29:54.5950",-5.38218667,55.95774,9092.722547
"106",20151026," 17:33:59.9700",-5.37271266,55.9650186,5363.505918
"107",20151026," 17:38:04.3450",-5.36346167,55.97237333,1279.664831
"108",20151026," 17:42:08.7200",-5.35612833,55.98029333,654.325802
"109",20151026," 17:46:20.1260",-5.36302,55.979885,101.042942
"110",20151027," 07:22:24.3600",-5.36229339,55.97706626,1625.743519
"111",20151027," 07:26:45.7660",-5.36235667,55.98601667,706.499197
"112",20151027," 07:30:52.1570",-5.36208679,55.99502687,48.925975
"113",20151027," 07:34:53.5320",-5.36099667,56.00394667,103.073731
"114",20151027," 07:38:56.9070",-5.35461667,56.01208833,81.892483
"115",20151027," 07:43:12.2980",-5.33949833,56.01452667,101.744537
"116",20151027," 07:47:31.7040",-5.32344851,56.01612782,190.462941
"117",20151027," 07:51:52.1100",-5.32419061,56.02450815,791.233581
"118",20151027," 07:56:21.5320",-5.32717833,56.03306333,0
"119",20151027," 08:00:48.9540",-5.32969325,56.04195974,281.570053
"120",20151027," 08:05:13.3450",-5.31824333,56.04747333,62.052765
"121",20151027," 08:09:43.7660",-5.3044993,56.05200742,485.108429
"122",20151027," 08:14:14.1880",-5.29063167,56.05649167,177.769064
"123",20151027," 08:18:39.6100",-5.27876911,56.06249158,149.229114
"124",20151027," 08:23:05.0160",-5.28090755,56.0710201,41.440033
"125",20151027," 08:27:33.4380",-5.28168379,56.07937712,29.702088
"126",20151027," 08:32:06.8600",-5.26843768,56.08439077,1.856241
"127",20151027," 08:36:41.2980",-5.25452859,56.08869912,89.4269
"128",20151027," 08:41:07.7200",-5.24028943,56.09286654,61.404442
"129",20151027," 08:45:30.1260",-5.22942833,56.09838075,56.737851
"130",20151027," 08:49:56.5320",-5.23086848,56.10736572,17.864334
"131",20151027," 08:54:30.9700",-5.23266833,56.11615167,146.29092
"132",20151027," 08:59:05.3910",-5.23091,56.12407333,0.889819
"133",20151027," 09:03:38.8130",-5.2161917,56.12775212,317.581759
"134",20151027," 09:08:08.2200",-5.20159253,56.13155979,268.788592
"135",20151027," 09:12:38.6410",-5.1903965,56.13801513,156.334037
"136",20151027," 09:17:15.0790",-5.18084712,56.14506968,120.736713
"137",20151027," 09:21:50.5010",-5.16755747,56.14933327,493.554996
"138",20151027," 09:26:22.9380",-5.15210724,56.1516513,1361.493477
"139",20151027," 09:30:52.3600",-5.13692102,56.15442755,6609.741592
"140",20151027," 09:35:18.7660",-5.12127127,56.15565915,119.148087
"141",20151027," 10:34:37.3130",-5.11642833,56.15597667,926.721979
"142",20151027," 10:39:18.7510",-5.10595833,56.16213167,137.519029
"143",20151027," 10:43:37.1570",-5.10556833,56.171255,2462.20861
"144",20151027," 10:47:55.5480",-5.10490996,56.1801906,1013.168768
"145",20151027," 10:52:12.9540",-5.0958555,56.18712162,2547.705278
"146",20151027," 10:56:29.3600",-5.08436167,56.1934,2354.815997
"147",20151027," 11:00:45.7510",-5.07269909,56.19946447,3180.15807
"148",20151027," 11:05:00.1410",-5.06887155,56.20795921,21440.180278
"149",20151027," 11:09:16.5480",-5.06882167,56.21700833,901.200321
"150",20151027," 11:13:33.9380",-5.068445,56.22587667,11.502698
"151",20151027," 11:17:46.3450",-5.05801897,56.23164575,651.014676
"152",20151027," 11:21:58.7200",-5.04191333,56.231225,177.673789
"153",20151027," 11:26:18.1410",-5.02664667,56.23265833,212.347339
"154",20151027," 11:30:32.5320",-5.02427167,56.23018833,1119.803366
"155",20151027," 11:34:29.8910",-5.03900837,56.22660027,2625.596127
"156",20151027," 11:38:23.2660",-5.053545,56.22255167,117.44048
"157",20151027," 11:42:15.6260",-5.06810368,56.21866471,711.19381
"158",20151027," 11:46:13.0010",-5.08290942,56.21519277,0
"159",20151027," 11:50:16.3760",-5.08293248,56.20751466,1387.130008
"160",20151027," 11:54:21.7660",-5.08026065,56.19875256,7308.003297
"161",20151027," 11:58:26.1410",-5.07978683,56.18995544,704.335928
"162",20151027," 12:02:30.5160",-5.09122984,56.18368577,612.654797
"163",20151027," 12:06:27.8760",-5.10271833,56.17747,2685.109586
"164",20151027," 12:10:20.2350",-5.11356325,56.1708753,366.816857
"165",20151027," 12:14:12.6100",-5.12131667,56.16296667,27411.78158
"166",20151027," 12:18:04.9700",-5.12739,56.15472833,586.122312
"167",20151027," 12:22:00.3290",-5.13356906,56.14644455,13.920554
"168",20151027," 12:25:55.7040",-5.14916641,56.14487127,302.440549
"169",20151027," 12:29:46.0630",-5.165015,56.14385833,73.22752
"170",20151027," 12:33:35.4230",-5.18100841,56.1427859,372.175905
"171",20151027," 12:37:22.7660",-5.19699041,56.14158465,168.181946
"172",20151027," 12:41:12.1260",-5.20831588,56.13720165,61.518623
"173",20151027," 12:45:01.4850",-5.21358744,56.1286924,13.519826
"174",20151027," 12:48:49.8450",-5.21972665,56.12040469,0
"175",20151027," 12:52:44.2040",-5.22055558,56.1115596,0
"176",20151027," 12:56:43.5790",-5.2214915,56.102683,31.948906
"177",20151027," 13:00:41.9540",-5.23219694,56.09655627,0
"178",20151027," 13:04:39.3130",-5.24772841,56.09498363,1.26212
"179",20151027," 13:08:33.6730",-5.25723438,56.09015704,115.313643
"180",20151027," 13:12:24.0320",-5.25912524,56.08123389,65.46656
"181",20151027," 13:16:09.3910",-5.26688333,56.07438333,307.808012
"182",20151027," 13:19:49.7350",-5.28005833,56.06934833,1456.57692
"183",20151027," 13:23:33.0790",-5.29306205,56.06403341,1294.037014
"184",20151027," 13:27:17.4380",-5.29788878,56.05578534,172.955557
"185",20151027," 13:31:05.7820",-5.29909516,56.04672594,364.496286
"186",20151027," 13:35:01.1570",-5.29996768,56.0378875,129.037821
"187",20151027," 13:39:01.5320",-5.31085762,56.03160646,724.507133
"188",20151027," 13:42:57.8910",-5.32243118,56.02538807,32.401373
"189",20151027," 13:46:44.2510",-5.33256833,56.01842333,11.489187
"190",20151027," 13:50:21.5950",-5.345975,56.01370333,0
"191",20151027," 13:53:55.9230",-5.35863893,56.00860189,210.021803
"192",20151027," 13:57:34.2660",-5.36613429,56.00067762,3.914069
"193",20151027," 14:01:18.6100",-5.3789255,55.99575398,0
"194",20151027," 14:04:59.9380",-5.39417782,55.99315514,0
"195",20151027," 14:08:46.2980",-5.41001909,55.99161197,0
"196",20151027," 14:12:46.6730",-5.42485002,55.98859342,63.419179
"197",20151027," 14:16:56.0630",-5.43890389,55.98451712,0
"198",20151027," 14:21:05.4540",-5.4338416,55.97674279,0
"199",20151027," 14:25:11.8290",-5.42340178,55.96996665,0
"200",20151027," 14:29:17.2200",-5.41293086,55.96316721,1676.727668
"201",20151027," 14:33:24.5950",-5.40235605,55.95637054,940.179421
"202",20151027," 14:37:38.0010",-5.39160478,55.9497902,1996.869515
"203",20151027," 14:41:56.4070",-5.38046833,55.943365,4873.74735
"204",20151027," 14:46:13.7980",-5.36948387,55.93684302,3151.227397
"205",20151027," 14:50:25.1880",-5.3646747,55.92895831,0
"206",20151027," 14:54:33.5790",-5.36702229,55.92003355,132.022854
"207",20151027," 14:58:39.9700",-5.36915624,55.91117598,1764.586865
"208",20151027," 15:02:45.3450",-5.37130041,55.90229421,341.162751
"209",20151027," 15:06:47.7040",-5.37320029,55.8933856,172.157499
"210",20151027," 15:10:44.0790",-5.37599374,55.88452558,563.615344
"211",20151027," 15:14:39.4540",-5.37965108,55.87574846,149.723653
"212",20151027," 15:18:36.8130",-5.38396787,55.86709204,348.236758
"213",20151027," 15:22:39.2040",-5.37355738,55.86149714,128.925545
"214",20151027," 15:26:38.5790",-5.35942001,55.85742461,335.093588
"215",20151027," 15:30:35.9380",-5.34496432,55.85350338,429.461089
"216",20151027," 15:34:39.3290",-5.33062804,55.84960764,1057.237976
"217",20151027," 15:38:43.7040",-5.31677184,55.84508676,10.61613
"218",20151027," 15:42:52.0950",-5.30308346,55.84051813,5047.949707
"219",20151027," 15:47:10.4850",-5.28901677,55.83624156,1488.414521
"220",20151027," 15:51:33.9070",-5.27508021,55.83198978,413.749373
"221",20151027," 15:56:01.3290",-5.26108638,55.82768107,1601.594052
"222",20151027," 16:00:29.7350",-5.249255,55.82229833,8374.270152
"223",20151027," 16:04:53.1410",-5.24289833,55.814125,10319.647178
"224",20151027," 16:09:09.5320",-5.23629745,55.80597133,1702.311309
"225",20151027," 16:13:21.9230",-5.22863286,55.79808625,497.857506
"226",20151027," 16:17:30.3130",-5.22020273,55.79051967,58.220698
"227",20151027," 16:21:37.7040",-5.21183167,55.78293,107.077016
"228",20151027," 16:25:38.0790",-5.2035418,55.77529013,1244.100187
"229",20151027," 16:29:30.4380",-5.19533,55.767665,1246.544249
"230",20151027," 16:33:21.7980",-5.18763333,55.75987833,5997.275628
"231",20151027," 16:37:11.1570",-5.1802855,55.75186325,3967.467013
"232",20151027," 16:41:01.5160",-5.1728754,55.74410479,2155.149559
"233",20151027," 16:44:54.8910",-5.16534951,55.73618518,573.114327
"234",20151027," 16:48:47.2510",-5.15724019,55.72842745,1087.543952
"235",20151027," 16:52:37.5950",-5.14437077,55.72353079,2945.64517
