lon,lat,m.length,n.sprat,sprat.length,n.herring,herring.length
-5.401,55.575,9.129537954,157,7.984076433,449,9.530066815
-5.212333333,55.77175,8.460840798,4207,8.357737105,236,10.3029661
-5.132583333,56.1565,7.763157895,124,7.653225806,9,9.277777778
-5.0395,55.6615,8.763733213,1615,8.499071207,258,10.41472868
-4.77425,55.571,8.588474417,9225,8.584119241,18,10.52777778
-5.060916667,55.91775,9.699809775,10200,8.651960784,17134,10.32347963
-5.49645,55.22073333,7.117506812,59,8.949152542,2146,7.069198509
-5.24065,55.38283333,7.524613533,17828,7.483901728,214,10.90186916
-5.15965,55.143775,6.678707073,30252,6.657741637,220,9.556818182
