lon,lat,m.length,n.sprat,sprat.length,n.herring,herring.length
-4.912666667,55.88733333,6.205605264,8827,6.192704203,24,10.95833333
-5.060916667,55.91233333,6.526818769,21760,6.520703125,28,11.17857143
-4.886,55.62916667,6.322274704,25010,6.322171132,1,9.5
-4.866166667,55.54633333,7.778708683,13031,7.76394751,50,11.65
-5.463666667,55.61075,6.459016393,22111,6.458889241,0,0
