"","Lon","Lat","FishNASC"
"1",-4.90117698,55.88365476,0
"2",-4.90684765,55.88191815,1786.544131
"3",-4.92235248,55.87908593,418.861316
"4",-4.93770833,55.876335,345.331111
"5",-4.95304946,55.87367391,26.430818
"6",-4.96764667,55.87028667,0.909665
"7",-4.95573,55.86515167,20.523337
"8",-4.94030167,55.86286833,399.248985
"9",-4.92477128,55.86069886,140.944525
"10",-4.90932944,55.85850085,387.279005
"11",-4.8944869,55.85535441,69.946927
"12",-4.90736684,55.8520155,640.485393
"13",-4.92289,55.84974,31.870977
"14",-4.93857833,55.8477,104.464746
"15",-4.95418833,55.84573333,39.93464
"16",-4.969775,55.843605,2246.554791
"17",-4.98539938,55.84156007,3124.546971
"18",-5.00109167,55.8398783,247.541898
"19",-5.01700602,55.83824495,14.253101
"20",-5.00922641,55.8358336,37.983237
"21",-4.99339189,55.83427527,62.755091
"22",-4.97763367,55.83270012,755.650755
"23",-4.96197342,55.83099449,336.654941
"24",-4.94603359,55.82994942,574.423777
"25",-4.93013,55.82873333,74.795579
"26",-4.91430667,55.82778167,325.326628
"27",-4.89828705,55.82660589,514.072086
"28",-4.90130948,55.82316981,482.35089
"29",-4.91696386,55.82104124,79.752324
"30",-4.93254724,55.81892969,49.208829
"31",-4.94800833,55.81663667,1.703675
"32",-4.96367578,55.81459173,334.725386
"33",-4.979305,55.812805,780.918012
"34",-4.99509167,55.81105333,472.44726
"35",-5.01106,55.80927167,38.193718
"36",-5.00369443,55.80505755,41.637455
"37",-4.9878564,55.80362727,196.708103
"38",-4.97261033,55.80086581,310.750429
"39",-4.95749364,55.79789936,127.709791
"40",-4.94229559,55.79498098,28.852034
"41",-4.92794375,55.7919275,0
"42",-4.94202898,55.78844656,565.545137
"43",-4.95775927,55.78643523,869.998035
"44",-4.97336535,55.7846557,120.211837
"45",-4.98913199,55.78312468,14.280151
"46",-4.99924853,55.7798496,1793.843188
"47",-4.9860765,55.77451326,37.212429
"48",-4.97239814,55.76993328,159.985867
"49",-4.95805589,55.7658541,226.183685
"50",-4.9506326,55.76120424,32.383984
"51",-4.96548755,55.75758594,87.964751
"52",-4.9801865,55.75387196,21.730851
"53",-4.99504064,55.75073095,106.176618
"54",-5.0111089,55.749805,0.850203
"55",-5.00425383,55.74477649,1544.416238
"56",-4.99031333,55.74027833,76.70175
"57",-4.97602306,55.7362628,92.317605
"58",-4.961375,55.732335,0.656048
"59",-4.966775,55.72866833,1.359478
"60",-4.98241292,55.72654835,209.101348
"61",-4.99786468,55.72425601,167.472471
"62",-5.01390797,55.72279,71.981562
"63",-5.01316956,55.71877112,5.223987
"64",-4.99904273,55.71474323,170.613397
"65",-4.98392257,55.71161205,77.403977
"66",-4.968925,55.708465,147.555309
"67",-4.95331806,55.70702172,59.780826
"68",-4.93789105,55.7051436,93.291761
"69",-4.92207003,55.70344748,26.485715
"70",-4.91466352,55.705708,13.041268
"71",-4.93046816,55.70732276,166.328221
"72",-4.94675284,55.70903912,9.485043
"73",-4.93494755,55.7120406,136.453907
"74",-4.91933184,55.71435864,112.703847
"75",-4.92034064,55.71924826,19.615771
"76",-4.93388221,55.72421062,5.636676
"77",-4.92779671,55.72862471,230.979752
"78",-4.91152,55.73117,142.559177
"79",-4.92102165,55.73472458,1.216821
"80",-4.92863585,55.73974116,0
"81",-4.91252339,55.74142242,0
"82",-4.89636178,55.74337562,0
"83",-4.90017257,55.75052685,485.535081
"84",-4.99442626,55.85177183,0
"85",-5.00786933,55.85306317,822.559287
"86",-5.02331884,55.85152077,340.342261
"87",-5.03931006,55.84941534,699.168159
"88",-5.03986281,55.85325429,2479.792089
"89",-5.03026066,55.86058336,674.302154
"90",-5.03257517,55.86447149,342.996294
"91",-5.04883454,55.86517194,1791.80971
"92",-5.06483562,55.86519782,41.171463
"93",-5.0673737,55.86798714,359.249348
"94",-5.05469,55.87368,1363.444155
"95",-5.05459206,55.87966016,846.192745
"96",-5.069293,55.88326527,1318.711763
"97",-5.07490286,55.88730955,216.761436
"98",-5.06191,55.89287667,1016.782367
"99",-5.05069369,55.89832101,599.78749
"100",-5.06450833,55.90292,1296.528604
"101",-5.06115438,55.90992261,2578.975998
"102",-5.0610412,55.91460427,3275.052266
"103",-5.07335352,55.91878393,2711.598215
"104",-5.05939037,55.92352821,4956.469742
"105",-5.068865,55.92689667,783.523664
"106",-5.06981667,55.93316667,783.370595
"107",-5.070645,55.93738167,941.929889
"108",-5.07678667,55.94198667,488.112594
"109",-5.07272653,55.94674734,1598.15825
"110",-5.08637476,55.95072541,603.881352
"111",-5.07933198,55.95670477,896.883252
"112",-5.09533942,55.95726848,245.202206
"113",-5.09941713,55.96488768,214.596684
"114",-5.10832867,55.96887342,485.472716
"115",-5.11497534,55.97406416,420.167856
"116",-5.11662813,55.9806055,162.506839
"117",-5.11997879,55.98592298,390.946983
"118",-5.12150235,55.991267,202.397902
"119",-5.12405167,55.99484568,432.598387
"120",-5.11356209,55.98705103,445.646277
"121",-5.11225118,55.98063924,150.452676
"122",-5.10995632,55.9753582,600.933284
"123",-5.10812794,55.96913779,471.46698
"124",-5.101505,55.96245667,247.594132
"125",-5.08610833,55.96085167,315.417237
"126",-5.08712563,55.95378322,710.233391
"127",-5.07369052,55.95128968,294.313995
"128",-5.08460167,55.94449502,430.903757
"129",-5.06971508,55.94219055,500.013721
"130",-5.07450902,55.9369956,385.390199
"131",-5.07116088,55.93247536,528.106317
"132",-5.06502333,55.92774733,458.182198
"133",-5.07370639,55.92271621,415.881595
"134",-5.05898333,55.91906667,628.567509
"135",-5.07026213,55.91318977,1265.604944
"136",-5.05899,55.90884167,63.706702
"137",-5.06216333,55.90329833,174.348128
"138",-5.05443922,55.84647637,0
"139",-5.01687,55.69579,1048.700638
"140",-5.00108122,55.69441368,1160.615857
"141",-4.98520792,55.69342286,582.863052
"142",-4.96946397,55.6919489,1240.735443
"143",-4.95397046,55.68984555,1916.116086
"144",-4.93824374,55.68836153,1876.391119
"145",-4.92232745,55.68710957,1761.030614
"146",-4.90649629,55.68618225,820.238138
"147",-4.89765514,55.68104901,0
"148",-4.90997768,55.67530475,1715.274207
"149",-4.92243192,55.66968523,998.204621
"150",-4.93499333,55.66416833,1033.78502
"151",-4.94882006,55.65960298,1591.572674
"152",-4.96253018,55.65517052,1348.902774
"153",-4.97757696,55.65174775,751.763676
"154",-4.96959333,55.64663333,568.065502
"155",-4.95465333,55.64354,785.742928
"156",-4.93966043,55.64042309,1465.629113
"157",-4.92474972,55.63730173,455.872289
"158",-4.90990366,55.63401194,1317.651779
"159",-4.89507694,55.63079976,688.903505
"160",-4.88004587,55.6277548,2682.00188
"161",-4.86487919,55.62476139,5420.916908
"162",-4.82102999,55.61626619,0
"163",-4.80614764,55.6130913,0
"164",-4.79116377,55.61000545,0
"165",-4.77613356,55.60703265,4.413625
